id,content,thread,date,URL
1626264055588753410,@PrasoonPratham But you look sad!,[],2023-02-16 16:55:40+00:00,https://twitter.com/Prathkum/status/1626264055588753410
1626240864153669633,"I have been using ChatGPT like an infinite library.

The difference is, finding a book in a physical library takes hours.

But, with ChatGPT, it only takes a few seconds.",[],2023-02-16 15:23:30+00:00,https://twitter.com/Prathkum/status/1626240864153669633
1626239643334369282,@csaba_kissi Actionable steps! ğŸ™Œ,[],2023-02-16 15:18:39+00:00,https://twitter.com/Prathkum/status/1626239643334369282
1626235270311071744,@Dominus_Kelvin Modern AI tools are based on OpenAI API all the way down. ğŸ˜‰,[],2023-02-16 15:01:17+00:00,https://twitter.com/Prathkum/status/1626235270311071744
1626233599073849351,@eddiejaoude Thanks! ğŸ˜,[],2023-02-16 14:54:38+00:00,https://twitter.com/Prathkum/status/1626233599073849351
1626229883449008128,"Over 21,000 people claimed their ""Hydentity"" handle.

Get your free handle here: https://t.co/jMiD1EI6JD

â€¢Â The next-gen wallet for the next-gen blockchain.

Here's mine! https://t.co/gjr68CC9c0",[],2023-02-16 14:39:52+00:00,https://twitter.com/Prathkum/status/1626229883449008128
1626222778461585408,"@scrumtuous Thanks! Very much similar to what I put 2 years back.

https://t.co/ExljPqVHGp",[],2023-02-16 14:11:38+00:00,https://twitter.com/Prathkum/status/1626222778461585408
1626188010286120960,@VKuznetsov6 @Wix Yes Iâ€™m super excited for it! ğŸ™Œ,[],2023-02-16 11:53:29+00:00,https://twitter.com/Prathkum/status/1626188010286120960
1626142695294140418,"@priynshuratnakr Tbh my engagement is down! ğŸ˜‚

But Twitter is going through the massive changes nowadays, could be the factor.",[],2023-02-16 08:53:25+00:00,https://twitter.com/Prathkum/status/1626142695294140418
1626119323126484994,@eddiejaoude Building an audience for you is as easy as 123.,[],2023-02-16 07:20:33+00:00,https://twitter.com/Prathkum/status/1626119323126484994
1626110941946597376,@ChrisStaud Thanks for the featuring https://t.co/Rc0QcDPoLX Chris! AI is literally revolutionizing the world.,[],2023-02-16 06:47:14+00:00,https://twitter.com/Prathkum/status/1626110941946597376

